"","modality","question","word","given_count","selected_count","model_rating","select_rate","r_modality","p_modality"
"185","Interoceptive","Interoceptive.3","frumbered",141,58,0.69433665,0.411347517730496,0.733443295801276,8.98493458769849e-06
"186","Interoceptive","Interoceptive.3","ipanelle",141,38,0.13025068,0.269503546099291,0.733443295801276,8.98493458769849e-06
"187","Interoceptive","Interoceptive.3","menaprigication",141,89,0.68688405,0.631205673758865,0.733443295801276,8.98493458769849e-06
"188","Interoceptive","Interoceptive.3","squeanings",141,76,0.077325225,0.539007092198582,0.733443295801276,8.98493458769849e-06
"189","Interoceptive","Interoceptive.3","thrurring",141,62,0.23955788,0.439716312056738,0.733443295801276,8.98493458769849e-06
"190","Interoceptive","Interoceptive.4","corsenations",145,67,0.120103806,0.462068965517241,0.733443295801276,8.98493458769849e-06
"191","Interoceptive","Interoceptive.4","diadegons",145,36,0.04247637,0.248275862068966,0.733443295801276,8.98493458769849e-06
"192","Interoceptive","Interoceptive.4","fifuffies",145,43,0.15302896,0.296551724137931,0.733443295801276,8.98493458769849e-06
"193","Interoceptive","Interoceptive.4","incarpritation",145,58,0.67394793,0.4,0.733443295801276,8.98493458769849e-06
"194","Interoceptive","Interoceptive.4","operrhaging",145,70,0.66708755,0.482758620689655,0.733443295801276,8.98493458769849e-06
"195","Interoceptive","Interoceptive.4","pylisation",145,74,0.09894495,0.510344827586207,0.733443295801276,8.98493458769849e-06
"196","Interoceptive","Interoceptive.4","squayophrenism",145,87,0.6597019,0.6,0.733443295801276,8.98493458769849e-06
"197","Mouth","Mouth.1","fifuffies",143,38,0.84762245,0.265734265734266,-0.141169451427894,0.473656811565385
"198","Mouth","Mouth.1","fluckles",143,45,0.8316367,0.314685314685315,-0.141169451427894,0.473656811565385
"199","Mouth","Mouth.1","prynching",143,53,0.06522305,0.370629370629371,-0.141169451427894,0.473656811565385
"200","Mouth","Mouth.1","raruting",143,71,0.18963277,0.496503496503497,-0.141169451427894,0.473656811565385
"201","Mouth","Mouth.1","sauging",143,96,0.14419205,0.671328671328671,-0.141169451427894,0.473656811565385
"202","Mouth","Mouth.1","shoquets",143,51,0.1345746,0.356643356643357,-0.141169451427894,0.473656811565385
"203","Mouth","Mouth.1","squeanings",143,75,0.8245459,0.524475524475524,-0.141169451427894,0.473656811565385
"204","Mouth","Mouth.2","ancechuttos",128,44,0.80455244,0.34375,-0.141169451427894,0.473656811565385
